OpenGov Record #,CASE #,PARCEL #,Auditor Listed Address,PROJECT NAME,LOCATION,APPLICATION TYPE,ZONING,P&Z APPROVAL,COUNCIL APPROVAL
PZ-15-3,15-0173LC,050-002292,4421 CEMETERY RD,Patton property (Agean),4421 Cemetery Rd,Conditional use - wholesale business,M-1,02/12/2015,n/a
PZ-15-4,15-0174LR,050-000022 050-000037,5346 NORWICH ST; 5260 CENTER ST,Heritage Preserve,Heritage Preserve PUD subareas A-1 and A-2,Lot split,PUD (Heritage Preserve),02/12/2015,n/a
PZ-15-5,15-0175LC,050-003869,Not Found,Project Marble (Amazon Data Center),Britton Central Subareas E1 & E2,PUD modification,PUD (Britton Central),03/12/2015,4/27/15 (15-R-26)
PZ-15-6,15-0176LC,050-004080,3455 MILL RUN DR,One Mill Run,3455 Mill Run Dr,Sign variance,PUD (Mill Run),03/12/2015,n/a
PZ-15-7,15-0177LC,050-000210,Not Found,Landmark Lofts - Molly Davis property,5289 Franklin St,PUD Zoning Development Plan,OH-RD,03/12/2015,6/8/15 (15-R-42)
PZ-15-8,15-0178LR,050-010603,5408 EAST VUE DR,Hilliard 30,Britton Central PUD Subarea A2,PUD modification & PUD Final Development Plan,PUD (Britton Central),03/12/2015,4/27/2015 (15-R-27)
PZ-15-9,15-0179LR,,,Hilliard City School District,Various properties within Hilliard,Sign variance - temporary signs,,03/12/2015,n/a
PZ-15-10,15-0180LR,050-001921 050-003177,Not Found,Avery Pointe,4579 Avery Rd,Final Plat,R-6,04/09/2015,6/8/15 (15-R-48)
PZ-15-11,15-0181LC,050-002799,4580 CEMETERY RD,Neptune Society,4558 Cemetery Rd,Conditional use - funeral home,B-2,04/09/2015,n/a
PZ-15-12,15-0182LR,050-000010 050-000062,4125 - 4125 MAIN ST,Dance Connection,4121 Main St & 4160 Wayne St,"Conditional use - indoor commercial recreation, place of worship, brew pub",OH-MD,04/09/2015,n/a
PZ-15-13,15-0183LR,053-000022,,Heritage Preserve Subarea A-3,Heritage Preserve PUD subareas A-1 and A-2,Lot split,PUD (Heritage Preserve),04/09/2015,n/a
PZ-15-14,15-0184LR,053-000022 053-000037,,Heritage Preserve Section 3 Phase 1,Heritage Preserve PUD subareas A-1 and A-2,Final Plat,PUD (Heritage Preserve),04/09/2015,6/8/15 (15-R-40)
PZ-15-15,15-0185LC,050-000140,5310 CENTER ST,Jack's Appliance,5310 Center St,Old Hilliard District Plan,OH-MD,04/09/2015,n/a
PZ-15-16,15-0186LC,050-007016,3781 PARK MILL RUN DR,CRI Mill Run Limited property,3781 Park Mill Run Dr,PUD modification & sign variance,PUD (Mill Run),07/09/2015,9/14/15 (15-R-62)
PZ-15-17,15-0187LC,050-006467,3401 MILL RUN DR,Entrotech,3401 Mill Run Dr,PUD Final Development Plan,PUD (Mill Run),04/09/2015,n/a
PZ-15-18,15-0188LC,050-010901,4160 TRUEMAN BL,Stone Oak,4160 Trueman Blvd,Sign variance - temporary signs,PUD (Soma),04/09/2015,n/a
PZ-15-19,15-0189LR,053-000020,,Heritage Preserve,"Heritage Preserve PUD subareas A-2, A-3, A-4 and A-6",Lot split,PUD (Heritage Preserve),05/14/2015,n/a
PZ-15-20,15-0190LR,050-000210 050-000157 050-002086 050-000864 050-002094,Not Found,Landmark Lofts,North side of Cemetery Rd opposite Luxair Dr,PUD Final Development Plan,PUD (Landmark Lofts),05/14/2015,n/a
PZ-15-21,15-0191LR,050-008664 050-009195 120-000184 120-000185 120-000173,Not Found,Tarlton Meadows,4608 and 4683 Elliott Rd,PUD Zoning Development Plan,PUD (Estates at Hoffman Farms) and Rural (Twp),04/14/2016,10/24/16 (Ord. 16-33)
PZ-15-22,15-0192LC,050-003869,Not Found,"Vadata, Inc. (Project Marble) (Amazon Data Center)",Britton Central PUD subareas E1 and E2,Final plat,PUD (Britton Central),05/14/2015,
PZ-15-23,15-0193LR,050-010826,4698 JEANNETTE RD,Sanderson property,4698 Jeannette Rd,Conditional use - two-family dwelling,R-3,06/11/2015,n/a
PZ-15-24,15-0194LC,050-010512 050-010761 050-010762 050-010763 050-010764,3993 COSGRAY RD; 3680 COSGRAY RD,Alton Commons,South side of Scioto Darby Rd at the southern terminus of Cosgray Rd,6-month extension of PUD,PUD (Alton Commons),05/14/2015,n/a
PZ-15-25,15-0195LC,050-002403,4537 CEMETERY RD,Pickups Plus Cars,4537 Cemetery Rd,"Level ""A"" site plan",B-4,05/21/2015,n/a
PZ-15-26,15-0196LC,050-007017,3747 PARK MILL RUN DR,Ride 1 Powersports,3747 Park Mill Run Dr,Sign variance - wall signs,PUD (Mill Run),06/11/2015,n/a
