OpenGov Record #,CASE #,PARCEL #,Auditor Listed Address,PROJECT NAME,LOCATION,APPLICATION TYPE,ZONING,P&Z APPROVAL,COUNCIL APPROVAL
,,,,Mill Run Joint Venture,Southwest corner of Mill Run PUD,PUD modification,PUD (Mill Run),12/14/1989,1/8/1990 (90-C-02)
,,,,Discover Card,3311 Mill Meadow Dr,Lot split,PUD (Mill Run),05/19/1990,n/a
,92-,,,Heritage Lakes PUD,,PUD Zoning Development Plan,,,(Ord. 92-62)
,92-00,,,Saturn,Northeast corner of Ridge Mill Dr & Fishinger Blvd,PUD modification & PUD final development plan,PUD (Mill Run),01/14/1993,2/1/1993 (93-C-5)
,92-00,,,J.E. Thomas Development,4599 Cemetery Rd,Development plan,B-5,01/14/1993,n/a
,93-0001LC,050-004804,4600 AVERY RD,Hilliard City School District property,Southeast corner of Davidson Rd & Avery Rd,Rezone to S-1,A-1,01/14/1993,
,93-0002LR,,,Ray property,4986 & 5094 Wilcox Rd,Lot split,A-1,03/11/1993,n/a
,93-0003LR,,,Burdge property,3789 Cemetery Rd,Rezone to B-4,R-1,Withdrawn 2/11/1993,n/a
,93-0004LC,,,"Saber Diamond Tools, Inc.",4324 Reynolds Dr,M-5 Plan,M-5,02/11/1993,n/a
,93-0005LC,,,Cemetery Road Corridor,,Public comments,,02/11/1993,n/a
,93-0006LC,,,City of Hilliard,,Assign A-1 zonign classification,Rural (Twp),Withdrawn 3/11/1993,
,93-0007LC,,,Players Club,Southwest corner of Mill Run PUD,Lot split & PUD modification,PUD (Mill Run),03/11/1993,4/26/1993 (93-C-8)
,93-0008LR,,,Westbriar Section 2,Frazell Rd,Informal review of revised preliminary plat,R-3,03/11/1993,
,93-0009LR,,,Carriage Run Phase 1,South side of Cemetery Road east of Westbrook Dr,Informal review of final plat,R-5/PND,03/11/1993,
,93-0010LR,,,Westbriar Section 2,Frazell Rd,Final plat,R-3,04/08/1993,
,93-0011LR,,,Carriage Run Phase 1,South side of Cemetery Road east of Westbrook Dr,Final plat,R-5/PND,04/08/1993,
,93-0012LR,,,Borror Corporation,North side of Davidson Rd opposite Schirtzinger Rd,Rezone to R-3,A-1,04/08/1993,(Ord 93-36)
,93-0013LC,,,Wolpert property,North side of Davidson Rd on the east and west sides of I-270,Rezone to B-3,A-1,04/08/1993,(Ord 93-37)
,93-0014LR,,,Carrington Place,West side of Britton Rd north of Britton Farms Dr,Final plat,PUD (Britton Farms),04/08/1993,
,93-0015LR,,,River Crossing Lot 11,River Crossing subdivision Lot 11,Lot split & PND modification,R-5/PND,04/08/1993,n/a
,93-0016LC,050-002282,4772 CEMETERY RD,Mid-Ohio Development property (Columbus Metropolitan Library),4772 Cemetery Rd,Rezone to B-2 with limited overlay,B-2 & M-5,04/08/1993,(Ord 93-35)
,93-0017LR,,,Woods of the Scioto,Lot 12,PND Modification,R-5/PND,04/08/1993,n/a
,93-0018LC,,,Unit Logistics,4555 Lyman Dr,Conditional use - warehouse,M-5,04/08/1993,n/a
,93-0019LC,,,Herberts Powder,4150 Lyman Dr,M-5 Plan,M-5,04/08/1993,n/a
,93-0020LC,,,Mill Run Care Center & Don Kenney Cluster Homes,Southwest portion of the Mill Run PUD,Lot split & PUD modification,PUD (Mill Run),Denied 4/8/1993,n/a
,93-0021LC,,,Pritchett property,4011 Wayne St,Conditional use & M-5 Plan,M-5,05/13/1993,n/a
,93-0022LC,,,Ken Matthews,Weaver Park,Lot split & M-5 Plan for business services use,M-5,04/08/1993,n/a
,93-0023LR,,,Davidson Run,North side of Davidson Rd opposite Schirtzinger Rd,Preliminary plat,R-3,05/13/1993,n/a
,93-0024LR,,,Darby Glen Section 2,,Final plat,R-5/PND,05/13/1993,
,93-0025LC,,,One Mill Run,3455 Mill Run Dr,Lot split,PUD (Mill Run),05/13/1993,n/a
,93-0026LR,,,Heritage Lakes Section 1,,Final plat,PUD (Heritage Lakes),05/13/1993,
,93-0027LC,,,Laidlaw Environmental Services,4350 Edgewyn Ave,M-5 Plan,M-5,05/13/1993,n/a
,93-0028LC,,,Cemetery Road Corridor Study,,Limited Overlay,,05/13/1993,
,93-0029LC,,,Mill Run Care Center,Southwest corner of Mill Run Dr & Mill Meadow Dr,Lot split & PUD modification,PUD (Mill Run),05/20/1993,6/14/1993 (93-C-10)
,93-0030LC,,,Mill Run PUD,Northwest corner of the Mill Run PUD (Kmart shopping center),PUD modification,PUD (Mill Run),06/10/1993,6/28/1993 (93-C-11)
,93-0031LC,,,Mill Meadow Drive Section 2,,Final plat,PUD (Mill Run),07/08/1993,
,93-0032LC,,,K-Mart,,"Lot split, PUD modification & PUD final development plan",PUD (Mill Run),07/08/1993,7/26/1993 (93-C-14)
,93-0033LC,,,"Johnston Manufacturing, Inc.",3830 Lacon Rd,M-5 Plan,M-5,07/08/1993,n/a
,93-0034LR,,,Sutton Place Section 2,,Final plat,R-3,07/08/1993,
,93-0035LC,,,Park Master Plan,,,,08/12/1993,
,93-0036LR,,,Carriage Run Subdivision,,Revised Final Plat,R-5/PND,08/12/1993,
,93-0037LC,050-002927 050-002928,2893 HILLIARD & ROME RD; HILLIARD & ROME RD,Roby Construction Company,2893 Hilliard Rome Rd,Rezone to R-3,A-1,08/12/1993,(Ord 93-67)
,93-0038LC,,,Ohio Laminating & Binding,Hilliard Technology Park Lots 3 & 4,Lot split & M-5 plan,M-5,08/12/1993,n/a
,93-0039LC,,,Laidlaw Environmental Services,4350 Edgewyn Ave,M-5 Plan,M-5,08/12/1993,n/a
,93-0040LR,,,Davidson Run Section 1,North side of Davidson Rd opposite Schirtzinger Rd,Final plat,R-3,08/12/1993,
,93-0041LC,,,Old Hilliard District,,Modify boundaries,,08/12/1993,
,93-0042LR,,,Point Pleasant,,Informal discussion,R-4,08/12/1993,
,93-0043LR,,,Carriage Run Phase 2,South side of Cemetery Road east of Westbrook Dr,Final plat,R-5/PND,09/09/1993,
,93-0044LR,,,Point Pleasant,3333 Leap Rd,Preliminary plat,R-4,09/09/1993,n/a
,93-0045LC,,,Mid-Ohio Development property,North side of Cemetery Rd & west of Leap Rd,Lot split,B-2,09/09/1993,n/a
,93-0046LC,,,Nationwise Auto,Northwest corner of Cemetery Rd & the Hilliard Square entrance drive,Final development plan,B-2,11/04/1993,n/a
,93-0047LC,,,Willson property,4876 Cemetery Rd,Rezone to B-1,R-3,09/09/1993,
,93-0048LC,,,Park Mill Run Dr,Mill Run PUD,Final plat,PUD (Mill Run),09/09/1993,
,93-0049LR,,,Buck Weld,,M-5 Plan - fence,M-5,09/09/1993,n/a
,93-0050LC,,,Davidson Road & Avery Road right-of-way,Corner of Davidson Rd & Avery Rd,Final plat,S-1,09/09/1993,
,93-0051LC,,,Saturn,3880 Fishinger Blvd,Final development plan modification - mounding,PUD (Mill Run),10/14/1993,n/a
,93-0052LR,,,Heritage Lakes,East side of Alton Darby Rd & south of Scioto Darby Rd,PUD modification,PUD (Heritage Lakes),10/14/1993,
,93-0053LC,,,Honda Northwest,3747 Park Mill Run Dr,"Lot split, PUD modification & Final Development plan",PUD (Mill Run),10/14/1993,10/25/1993 (93-C-29)
,93-0054LC,,,Columbus Sports,3781 Park Mill Run Dr,"Lot split, PUD modification & Final Development plan",PUD (Mill Run),11/04/1993,12/6/1993 (93-C-35)
,93-0055LR,,,Point Pleasant,3333 Leap Rd,Final plat,R-4,10/14/1993,
,93-0056LR,,,Britton Farms Section 3 Phase 1 & 2,,Final plat,PUD (Britton Farms),10/14/1993,
,93-0057LR,,,River Park Part 2,Northwest corner of Davidson Rd & Dublin Rd,Final plat,R-3,10/14/1993,
,93-0058LC,,,Arctic Express,4301 Lyman Dr,M-5 Plan,M-5,10/14/1993,n/a
,93-0059LC,,,"Compuserve, Inc.",Northeast corner of Davidson Rd & Britton Rd - 5000 Britton Rd,Informal review,B-3,11/01/1993,n/a
,93-0060LC,,,"Compuserve, Inc.",Northeast corner of Davidson Rd & Britton Rd - 5000 Britton Rd,Plan approval,B-3,11/10/1993,n/a
,93-0061LC,,,Maxwell property,North side of Scioto Darby Rd & west of Cosgray Rd,Rezone to B-4,A-1,11/10/1993,
,93-0062LC,,,Halley property,6368 Scioto Darby Rd,Rezone to B-4,A-1,11/10/1993,
,93-0063LC,,,Laidlaw Environmental Services,4350 Edgewyn Ave,M-5 Plan,M-5,11/10/1993,n/a
,93-0064LC,,,1994 Capital Imrovements Program,,,,11/10/1993,
,93-0065LC,,,"Compuserve, Inc.",5000 Britton Rd,Development plan modification,B-3,12/09/1993,n/a
,93-0066LC,,,Damon's Restaurant,3799 Park Mill Run Dr,"Lot split, PUD modification & Final Development plan",PUD (Mill Run),12/09/1993,12/20/1993 (93-C-50)
,93-0067LR,,,Franklin Homes,4964 Vicksburg Ct,Lot split,R-3,12/09/1993,n/a
,93-0068LR,,,Haueisen property,East side of Hilliard Rome Rd between Schatz Ln and Richlanne Dr,Sketch plan,,12/09/1993,n/a
,94-0001LC,050-007228,MILL RUN DR,One Mill Run,3455 Mill Run Dr,Lot split & PUD modification,PUD (Mill Run),01/13/1994,1/24/1994 (94-C-01)
,94-0002LC,050-006675,3599 PARK MILL RUN DR,Incredible Universe,3599 Park Mill Run Dr,Lot split & PUD modification,PUD (Mill Run),01/13/1994,2/14/1994 (94-C-03)
,94-0003LC,050-005613 050-00,5600 - 5900 SCIOTO DARBY RD,Hilliard City School District,Northeast corner of Scioto Darby Rd & Leppert Rd,Rezoning to S-1 (83.853 acres),A-1,01/13/1994,
,94-0004LC,,,Planned Development Co.,Heritage Club Dr & Main St,Final plat,PUD (Heritage Lakes),02/10/1994,
,94-0005LR,,,Haueisen property,East side of Hilliard Rome Rd between Schatz Ln & Richlanne Dr,Sketch plan,R-2,01/13/1994,n/a
,94-0006LR,,,Carriage Run Phase 2,,Informal review,PND,01/13/1994,n/a
,94-0007LR,,,Carriage Run Phase 2,,Final plat amendment,PND,02/10/1994,
,94-0008LC,050-006675,3599 PARK MILL RUN DR,Incredible Universe (15.55 acres),3599 Park Mill Run Dr,PUD modification & Final Development Plan,PUD (Mill Run),02/10/1994,3/14/1994 (94-C-05)
,94-0009LC,050-007276,3883 PARK MILL RUN DR,Chili's (2.0 acres),Northwest corner of Park Mill Run Dr & Fishinger Blvd,Lot splilt,PUD (Mill Run),02/10/1994,n/a
,94-0010LC,,,K. Amailia Enterprises,"3700 Parkway Ln, Suite Q",Conditional use - clothing sales,M-5,2/10/1994 8/11/1994 6-month extension,n/a
,94-0011LR,,,Scioto Farms,South side of Scioto Darby Rd & west of Walcutt Rd,Sketch plan,,02/10/1994,n/a
,94-0012LC,,,Wendy's,4245 Cemetery Rd,M-5 Plan,M-5,Withdrawn 4/14/1994,n/a
,94-0013LC,,,Hurst-Russell Offices,4876 Cemetery Rd,Informal review,L-B-1,02/10/1994,n/a
,94-0014LR,,,Heritage Lakes,Heritage Lakes PUD,Final Plat,PUD (Heritage Lakes),04/14/1994,
,94-0015LC,,,Hilliard Academy of Dance,3840 Lacon Rd,Conditional use,M-5,05/12/1994,n/a
,94-0016LR,,,Frank Mulford & Charles Haueisen,East side of Hilliard Rome Rd between Schatz Ln & Richlanne Dr,Rezone to R-2; lot split; & Preliminary Plat,R-1,03/10/1994,
,94-0017LR,,,"Patch property, Borror Corp., & M/I Schottenstein Homes",East side of Avery Rd (39.65 acres),Rezone to R-3,R-2 & R-3,03/10/1994,
,94-0018LR,,,"Riebel Holding Company / Hospital Properties, Inc.","Hayden Run Village Reserve ""A""",Rezone to B-1,R-5,03/10/1994,
,94-0019LC,,,R&S Halley & Co.,6400 Scioto Darby Rd,Development Plan,,03/10/1994,n/a
,94-0020LC,,,Hurst-Russell Offices,4876 Cemetery Rd,Development Plan,,03/10/1994,
,94-0021LC,,,Wendy's,4245 Cemetery Rd,M-5 Plan,M-5,Withdrawn,n/a
,94-0022LC,,,Hilliard Academy of Dance,"3840 Lacon Rd, Suite 10 & 12",Conditional use,M-5,05/12/1994,n/a
,94-0023LR,,,Hampton Oaks,East side of Avery Rd (39.65 acres),Preliminary plat,R-3,04/14/1994,
,94-0024LR,,,Darby Glen Section 3 Part 1,Scioto Darby Rd & Leap Rd,Final plat,PND,04/14/1994,
,94-0025LR,,,Darby Glen Section 3 Part 2,Scioto Darby Rd & Leap Rd,Final plat,PND,04/14/1994,
,94-0026LR,,,Brookfield Village Section 5,North of Roberts Rd & East of Frazell Rd,Final plat,PND,04/14/1994,
,94-0027LR,,,Scioto Farms,Scioto Darby Rd & Walcutt Rd,Preliminary plat,R-3,04/14/1994,
,94-0028LC,,,Paxton Lumber,3981 Parkway Ln,Conditional use - retail & wholesale,M-5,04/14/1994,n/a
,94-0029LC,,,J.L. Norbeck Co.,Hilliard Technology Park Lot 4 - Reynolds Drive west of Ohio Laminating & Binding,M-5 Plan,M-5,04/14/1994,n/a
,94-0030LC,050-002984,4500 SUTPHEN CT,Sutphen Towers c/o D.K. Buck Company,4500 Sutphen Ct,M-5 Plan,M-5,04/14/1994,n/a
,94-0031LC,050-007350,3861 PARK MILL RUN,TGI Friday's,3861 Park Mill Run Dr,Lot split & PUD modification,PUD (Mill Run),04/14/1994,4/25/1994 (94-C-09)
,94-0032LC,050-007276,3883 PARK MILL RUN DR,Chili's,3883 Park Mill Run Dr,Lot split & PUD modification,PUD (Mill Run),04/14/1994,4/25/1994 (94-C-10)
,94-0033LC,050-007272 050-007273,3841 PARK MILL RUN DR; 3831 PARK MILL RUN DR,Homewood Suites & Comfort Suites,3831 & 3841 Park Mill Run Dr,Lot split & PUD modification,PUD (Mill Run),04/14/1994,4/25/1994 (94-C-12)
,94-0034LC,,,Restaurant site,Park Mill Run Dr (1.53 acres),Lot split & PUD modification,PUD (Mill Run),04/14/1994,4/25/1994 (94-C-13)
,94-0035LC,050-004028,4455 REYNOLDS DR,,4455 Reynolds Dr (Hilliard Technology Park Lot 10),Lot split,M-5,04/14/1994,n/a
,94-0036LR,,,Heritage Lakes,,Final plat,PUD (Heritage Lakes),04/14/1994,
,94-0037LR,,,Heritage Lakes Section 2 Phase 1,,Final plat,PUD (Heritage Lakes),,
,94-0038LR,,,Heritage Lakes Section 2 Phase 2,,Final plat,PUD (Heritage Lakes),,
,94-0039LC,,,"The Computer Group, Inc.",4455 Reynolds Dr (Hilliard Technology Park Lot 9 & residual of Lot 10),M-5 Plan,M-5,05/12/1994,n/a
,94-0040LC,050-002811,3830 LACON RD,"Johnstown Manufacturing, Inc.",3830 Lacon Rd,M-5 Plan,M-5,05/12/1994,n/a
,94-0041LC,050-004026 050-004027,4477 - 4485 REYNOLDS DR,Baesman Printing Corp.,4477 Reynolds Dr,M-5 Plan,M-5,05/12/1994,n/a
,94-0042LC,,,Clarence Maxwell property,Northwest corner of Scioto Darby Rd & Cosgray Rd,Lot split,A-1,05/12/1994,n/a
,94-0043LC,050-007004 050-007806,3785 PARK MILL RUN DR; MILL RUN DR,Kmart,3785 Park Mill Run Dr,Final development plan revision,PUD (Mill Run),06/09/1994,n/a
,94-0044LC,050-007509,Not Found,Hometown Buffet,3727 Park Mill Run Dr,Lot split & PUD modification,PUD (Mill Run),06/09/1994,6/27/1994 (94-C-21)
,94-0045LR,,,Davidson Run Section 2,North side of Davidson Rd opposite Schirtzinger Rd,Final plat,R-3,06/09/1994,
,94-0046LC,050-002811,3830 LACON RD,"Johnstown Manufacturing, Inc.",3830 Lacon Rd,M-5 Plan,M-5,Denied 9/8/1994,n/a
,94-0047LC,,,"The Computer Group, Inc.",4455 Reynolds Dr (Hilliard Technology Park Lot 9 & residual of Lot 10),M-5 Plan revision,M-5,06/09/1994,n/a
,94-0048LC,,,Kerbler property,4149 & 4199 Weaver Ct,M-5 Plan,M-5,07/14/1994,n/a
,94-0049LC,,,Epcon condos,Main St & Heritage Club Dr,Lot split & PUD modification,PUD (Heritage Lakes),06/09/1994,(94-C-22)
,94-0050LC,,,Happy Home Daycare,4940 Scioto Darby Rd,Zoning Code amendment to add childcare as permitted us in B-4,B-4,06/09/1994,
,94-0051LC,050-003178,3959 - 3959 PARKWAY LN,Buckeye Nissan,3959 Parkway Ln,Transfer of conditional use from B-2 to M-5 for automotive sales & repair,M-5,06/09/1994,
,94-0052LC,050-007004 050-007806,3785 PARK MILL RUN DR; MILL RUN DR,KMart,3785 Park Mill Run Dr,Final development plan revision - fence,PUD (Mill Run),Denied 7/14/94,n/a
,94-0053LC,050-003293,4301 LYMAN DR,Arctic Express,4301 Lyman Dr,M-5 Plan,M-5,07/14/1994,n/a
,94-0054LC,050-002989,4830 NORTHWEST PK,"S&G Metal Works, Inc.",4830 Northwest Pkwy,M-5 Plan,M-5,07/14/1994,
,94-0055LC,050-003178,3959 - 3959 PARKWAY LN,Buckeye Nissan,3959 Parkway Ln,Conditional use - automotive repair,M-5,07/14/1994,n/a
,94-0056LC,050-007016,3781 PARK MILL RUN DR,Sports Unlimited,3781 Park Mill Run Dr,Final development plan modification - roof mounted antenna,PUD (Mill Run),08/11/1994,n/a
,94-0057LR,050-004002,4643 SCHIRTZINGER RD,Ernst property,4643 Schirtzinger Rd,Lot split,R-1,08/11/1994,n/a
,94-0058LC,050-000362 050-000363,3975 - 3975 MAIN ST,U-Haul,3975 Main St,Conditional use - truck rental,,Denied 8/11/1994,n/a
,94-0059LC,,,Perrotta Marble,,M-5 Plan,M-5,08/11/1994,n/a
,94-0060LR,,,Gladstone Estates,East side of Hilliard Rome Rd between Schatz Ln & Richlanne Dr,Preliminary plat,R-2,09/08/1994,n/a
,94-0061LC,,,City of Hilliard,4200 Dublin Rd & 4235 Dublin Rd,Assigning S-1 & R-1 zoning classifications,Rural (TWP),09/08/1994,
,94-0062LR,,,Tamburo property,4160 Dublin Rd,Rezone to R-5,A-1,02/09/1995,
,94-0063LR,,,Scioto Farms Section 1,South side of Scioto Darby Rd & west of Walcutt Rd,Final plat,R-3,10/13/1994,
,94-0064LC,,,Klean-A-Kar,4462 Cemetery Rd & 3880 Brown Park Dr,Lot split,,09/08/1994,n/a
,94-0065LR,,,Braun property (Woods of the Scioto),3177 Melbury Dr,Lot split,R-5/PND,09/08/1994,n/a
,94-0066LC,,,Glimcher Properties Ltd.,8.766 acres immediately south of Kmart,PUD modification & PUD Final Development Plan,PUD (Mill Run),09/08/1994,9/26/1994 (94-C-29)
,94-0067LC,050-002401,4810 CEMETERY RD,M&K Investments,4810 Cemetery Rd,Rezone to B-3,R-3,09/08/1994,10/25/1994 (Ord. 94-82)
,94-0068LC,,,Mokris property,4440 Avery Rd,Rezone to B-3,R-4,09/08/1994,
,94-0069LR,,,River Park No. 3,North side of Davidson Rd & west side of Dublin Rd,Final plat,R-3,09/08/1994,
,94-0070LC,050-002984,4500 SUTPHEN CT,Sutphen Towers,4500 Sutphen Ct,M-5 Plan,M-5,10/13/1994,n/a
,94-0071LC,,,Cemetery Road Corridor Overlay District II,South side of Cemetery Rd between Leap Rd & Westbrook Dr,Addendum to Cemetery Road Corridor Overlay District,,09/28/1994,
,94-0072LC,,,New Life Baptist Church,4940 Scioto Darby Rd,Rezone to B-3,B-4,,
,94-0073LC,,,ITW - Nifco,4199 Weaver Ct South,M-5 Plan,M-5,10/13/1994,n/a
,94-0074LC,,,Advanced Thermal Systems,3659 Parkway Ln,M-5 Plan,M-5,10/13/1994,n/a
,94-0075LC,050-007238,3799 PARK MILL RUN DR,Damon's,3799 Park Mill Run Dr,PUD final development plan revision - satellite dish,PUD (Mill Run),11/10/1994,n/a
,94-0076LC,,,Hospital Properties Inc.,Davidson Rd & access drive to Britton Elementary School,Lot split & PUD Final Development Plan,PUD (Britton Farms),12/08/1994,n/a
,94-0077LC,,,Abbruzzese property,Northwest corner of Cemetery Rd & Berryleaf Ln,Lot split & development plan,B-3,11/10/1994,n/a
,94-0078LC,,,One Mill Run,3455 Mill Run Dr,PUD modification & final developmente plan - parking lot expansion,PUD (Mill Run),11/10/1994,12/5/1994 (94-C-33)
,94-0079LC,,,National Church Residences,North side of Heritage Club Dr approximately 300 feet west of Main St,PUD modification - nursing home,PUD (Heritage Lakes),11/10/1994,
,94-0080LC,,,Heritage Lakes,,"PUD modification, Lot split & rezone from S-1 to PUD",S-1 & PUD (Heritage Lakes),11/10/1994,
,94-0081LC,050-007017,3747 PARK MILL RUN DR,La-Z-Boy,3747 Park Mill Run Dr,PUD modification & Final Development Plan,PUD (Mill Run),11/10/1994,12/12/1994 (94-C-35) 3/6/1995 (95-C-08)
,94-0082LR,,,Young property,East of Hilliard Run subdivision,Rezone to R-2; lot split; & Preliminary Plat,A-1,11/10/1994,
,94-0083LR,,,Knick property,West of Avery Estates & east of Leppert Rd,Rezone to R-2; lot split; & Preliminary Plat,A-1,11/10/1994,
,94-0084LR,,,Borror Corp. (Hoffman Farms),Northwest corner of Scioto Darby Rd & Leppert Rd,Sketch plan,A-1,12/08/1994,n/a
,94-0085LC,,,Klean-A-Kar,3880 Brown Park Dr,Lot split,,12/08/1994,n/a
,94-0086LC,050-002282,4772 CEMETERY RD,Columbus Metropolitan Library,4772 Cemetery Rd,CRCOD plan,L-B-2,01/12/1995,n/a
,94-0087LC,,,W.W. Williams Company,Parkway Ln,Lot split & conditional use - warehouse,M-5,01/12/1995,n/a
,94-0088LC,,,1995 Capital Improvements Program,,,,12/08/1994,
,95-0004LC,,,Wendy's,4245 Cemetery Rd,M-5 plan,M-5,01/12/1995,n/a
,95-0005LC,,,"Beer Select, Inc.",4174 Anson Dr,Conditional use - warehouse,M-5,01/12/1995,n/a
,95-0006LC,,,BP Oil Company,4266 Cemetery Rd,"M-5 plan, CRCOD plan, variance",M-5,01/12/1995,n/a
,95-0007LR,,,Britton Farms Section 4 Phase 2,North of Davidson Rd & west of Britton Rd,Final plat,PUD (Britton Farms),02/09/1995,
,95-0008LR,,,Hampton Oaks,Avery Rd,Final plat,R-3,02/09/1995,
,95-0009LR,,,Heritage Lakes entrance (Custom Touch Builders),Northeast corner Heritage Lakes Dr & Alton Darby Rd,Lot split,PUD (Heritage Lakes),Withdrawn 3/9/95,n/a
,95-0010LC,,,John Messmore property,Cemetery Rd & Lyman Dr,Conditional use - mini storage,M-5,Withdrawn 3/9/95,n/a
,95-0011LC,,,"Champion Window of Columbus, Inc.",3700 Parkway Ln,Conditional use - office & warehouse,M-5,03/09/1995,n/a
,95-0012LC,,,7-Eleven (Convenient Development Corp.),Southwest corner of Heritage Club Dr North & Main St,PUD modification - convenience store,PUD (Heritage Lakes),02/09/1995,n/a
,95-0013LC,,,Spageddies Italian Kitchen,3873 Park Mill Run Dr,PUD modification - restaurant,PUD (Mill Run),03/09/1995,3/13/1995 (95-C-11)
,95-0014LC,,,McDonald's,3685 Main St,Lot split & PUD modification,PUD (Heritage Lakes),02/09/1995,n/a
,95-0014LC,,,Autoworks,Cemetery Rd west of Leap Rd,Development plan,B-2,02/09/1995,n/a
,95-0015LR,,,Hoffman Farms,Northwesst corner of Scioto Darby Rd & Leppert Rd,PUD Zoning Development Plan,A-1,03/09/1995,
,95-0016LC,,,Wilke property,Main St,PUD Zoning Development Plan,S-1,02/09/1995,
,95-0017LR,,,Smith & Hale,Wilcox Rd,Rezoning to R-2 & R-6,A-1,8/10/95 postponed indefinitely,
,95-0018LR,,,Hampton Oaks Phase 2,Avery Rd,Final plat,R-3,04/13/1995,
,95-0019LR,,,Darby Glen Section 3 Phase 2,Scioto Darby Rd & Leap Rd,Final plat,R-5,04/13/1995,
,95-0020LC,,,Dorothy Baker,4567 Cemetery Rd,Access drive & home occupation,,05/11/1995,n/a
,95-0021LC,,,Warren Wilke,4519 Cemetery Rd,Informal discussion,,,
,95-0022LC,,,7-Eleven,Southwest corner of Heritage Club Dr North & Main St,Lot split,PUD (Heritage Lakes),04/13/1995,n/a
,95-0023LC,,,Scioto Valley,4577 Lyman Dr,M-5 plan,M-5,07/13/1995,n/a
,95-0024LC,,,S & G Metal Works,4830 Northwest Pkwy,M-5 plan,M-5,04/13/1995,n/a
,95-0025LC,,,Classic Chem Station,3701 Main St,Transfer of conditional use from B-4 to B-2 - janitor supply company,B-2,04/13/1995,
,95-0026LC,,,TGI Friday's,3861 Park Mill Run Dr,Patio dining,PUD (Mill Run),05/11/1995,n/a
,95-0027LR,,,Steve Buchenroth & Don Wick,Mill Run between One Mill Run & the Players Club,PUD modification - condos,PUD (Mill Run),Denied 5/11/95,n/a
,95-0028LC,,,7-Eleven,Southwest corner of Heritage Club Dr North & Main St,Driveway relocation,PUD (Heritage Lakes),Withdrawn 5/11/95,n/a
,95-0029LR,,,Tamburo property - Woods of Scioto Phase 2,4160 Dublin Rd,Preliminary plat & development plan,A-1,8/12/95 tabled indefinitely,
,95-0030LC,,,W.W. Williams Company,Parkway Ln,M-5 plan,M-5,05/11/1995,n/a
,95-0031LC,,,Physical Therapy West,4878 Cemetery Rd,CRCOD plan,,05/11/1995,n/a
,95-0032LC,,,Saturn - Collision & Glass Repair Facility,Northest corner of Ridge Mill Dr & Fishinger Blvd,PUD modification & development plan,PUD (Mill Run),07/13/1995,7/24/1995 (95-C-19)
,95-0033LC,,,"ITW - Nifco, Inc.",4231 Leap Rd,Conditional use - cooling tower,M-5,06/08/1995,n/a
,95-0034LC,,,Walter Kennedy,5387 Madison St,Transfer of conditional use from B-2 to B-4 - automotive repair,B-4,07/13/1995,
,95-0035LC,,,Columbus Metropolitan Library,5657 Scioto Darby Rd,Rezoning to B-3,B-1,06/08/1995,
,95-0036LC,,,Ohio Laminating & Binding,4364 Reynolds Dr,Special permit & variance for telecommunications tower,M-5,07/13/1995,n/a
,95-0037LC,,,"Laidlaw Environmental Services, Inc.",4350 Edgewyn Ave,M-5 plan,M-5,06/08/1995,n/a
,95-0038LC,,,M.A.N. Mapping Services,Weaver Court South,Lot split & M-5 plan,M-5,06/08/1995,n/a
,95-0039LC,,,"Ohio Mulch Supply, Inc.",3550 Parkway Ln,Conditional use - ancillary retail & outdoor storage,M-5,08/10/1995,n/a
,95-0040LC,,,Warner Cable,Grace St (Lot 4),CRCOD plan,B-4,08/10/1995,n/a
,95-0041LC,,,Evergreen Restaurant,4280 Cemetery Rd,M-5 plan & setback variance,M-5,08/10/1995,n/a
,95-0042LR,,,Hamilton residence,4723 Glanstonbury Dr,PUD modification - fence,PUD (Britton Farms),08/10/1995,
,95-0043LR,,,Beckstein residence,4745 Glanstonbury Dr,PUD modification - fence,PUD (Britton Farms),08/10/1995,
,95-0044LC,,,Perrotta Marble Shop,3808 Lacon Dr,M-5 plan,M-5,09/14/1995,n/a
,95-0045LR,,,Davis residence,4166 Avery Rd,Rezoning to B-1,R-2,11/16/1995,
,95-0046LR,,,Kesler residence,4180 Avery Rd,Rezoning to B-1,R-2,11/16/1995,
,95-0047LR,,,Kensey residence,4196 Avery Rd,Rezoning to B-1,R-2,11/16/1995,
,95-0048LC,,,Gary Estep,West side of Britton Rd between Britton Farms Dr & Carrington Way,PUD modification - daycare,PUD (Britton Farms),09/14/1995,
,95-0049LC,,,Johnstown Manufacturing,3830 Lacon Rd,M-5 plan,M-5,Denied 11/9/95,n/a
,95-0050LR,,,Scioto Farms Section 2,Scioto Darby Rd & Scioto Farms Dr,Final plat,R-3,10/12/1995,
,95-0051LC,,,Rage Corporation,3949 Lyman Dr,M-5 plan,M-5,09/14/1995,n/a
,95-0052LC,,,"Transport Specialists, Inc.",4300 Lyman Dr,M-5 plan,M-5,09/14/1995,n/a
,95-0053LC,,,Dan Slane - Tinapple Plaza,Hilliard Rome Rd & Tinapple Rd,Informal discussion - shopping center,,12/14/1995,n/a
,95-0054LR,,,Cash residence,3600 Boathouse Dr,PUD modification - rear setback,PUD (River Landings),11/09/1995,
,95-0055LR,,,Darby Glen Section 4,Scioto Darby Rd & Leap Rd,Final plat,R-5/PND,11/09/1995,
